57.48 ± 27.07, -8.58 ±  0.49, 54.11 ± 27.64, 55.50 ± 27.70, 49.32 ± 28.44
 2.30 ±  2.03, -7.29 ±  0.18, 27.21 ± 10.75,  0.62 ±  1.76, 24.44 ± 11.10
59.04 ± 25.37, -8.18 ±  0.37, 61.42 ± 27.66, 61.89 ± 27.48, 56.34 ± 27.64
-0.14 ±  2.99, -8.28 ±  0.57, -2.88 ±  2.77, -2.39 ±  2.28, -9.68 ±  2.96
43.20 ± 12.31, -8.22 ±  1.62, 32.99 ± 10.15, 37.90 ± 10.83, 30.02 ± 11.19
63.10 ± 21.32, -8.84 ±  0.85, 43.92 ± 17.48, 49.09 ± 17.59, 42.92 ± 18.52
69.84 ± 25.53, 26.92 ± 20.24, 33.53 ± 10.91, 60.83 ± 11.32, 54.52 ± 11.41
-2.83 ±  1.50, -5.23 ±  0.86,  2.01 ±  3.08,  8.09 ±  4.45,  7.44 ±  3.90
 2.98 ±  6.46,  4.06 ± 11.52, 64.41 ± 21.45, 59.14 ± 17.57, 63.09 ± 21.67
11.86 ±  4.31,  6.51 ±  5.14, 37.77 ± 10.23, 44.60 ± 11.59, 40.41 ± 12.01
23.53 ±  7.25, 55.03 ± 14.51, -4.22 ±  3.69, 58.26 ± 14.35, 49.81 ± 14.20
