63.49 ± 27.07, -2.57 ±  0.49, 60.12 ± 27.64, 61.51 ± 27.70, 61.33 ± 28.44
 8.31 ±  2.03, -1.29 ±  0.18, 33.22 ± 10.75,  6.63 ±  1.76, 36.45 ± 11.10
65.04 ± 25.37, -2.17 ±  0.37, 67.43 ± 27.66, 67.89 ± 27.48, 68.35 ± 27.64
 5.80 ±  2.94, -2.34 ±  0.54,  3.06 ±  2.74,  3.55 ±  2.23,  2.20 ±  2.88
49.20 ± 12.31, -2.21 ±  1.62, 39.00 ± 10.15, 43.90 ± 10.83, 42.03 ± 11.19
69.11 ± 21.32, -2.83 ±  0.85, 49.92 ± 17.48, 55.09 ± 17.59, 54.93 ± 18.52
75.84 ± 25.53, 32.93 ± 20.24, 39.53 ± 10.91, 66.84 ± 11.32, 66.53 ± 11.41
 2.42 ±  1.50,  0.02 ±  0.86,  7.26 ±  3.08, 13.34 ±  4.45, 17.94 ±  3.90
 8.98 ±  6.46, 10.07 ± 11.52, 70.41 ± 21.45, 65.14 ± 17.57, 75.11 ± 21.67
17.86 ±  4.31, 12.52 ±  5.14, 43.77 ± 10.23, 50.60 ± 11.59, 52.43 ± 12.01
28.78 ±  7.25, 60.28 ± 14.51,  1.02 ±  3.69, 63.51 ± 14.35, 60.30 ± 14.20
