 0.04 ±  1.42, -2.35 ±  0.48, -0.60 ±  1.22, -0.89 ±  1.23, -1.92 ±  1.23
-0.41 ±  1.07, -2.35 ±  0.32, 30.05 ± 10.44, -3.16 ±  0.40, 27.81 ± 10.48
 0.10 ±  1.37, -2.16 ±  0.21, -0.69 ±  1.03, -1.21 ±  0.79,  3.50 ±  5.60
 0.09 ±  1.27, -1.97 ±  0.60, -2.51 ±  0.84, -1.67 ±  0.50, -3.56 ±  2.24
 2.99 ±  2.00, -1.79 ±  0.39, -1.73 ±  0.40, -1.60 ±  0.28, -3.52 ±  0.40
 9.76 ±  5.58, -0.80 ±  0.92, -1.62 ±  0.73, -2.12 ±  0.46, -2.11 ±  1.09
-0.36 ±  1.75, -0.49 ±  1.24, -2.72 ±  0.85, 12.35 ±  5.23, 31.40 ± 11.10
 0.26 ±  1.41, -1.89 ±  1.52,  0.21 ±  1.35,  8.55 ±  2.94, 13.24 ±  4.22
-1.76 ±  0.60,  5.22 ±  7.35,  9.42 ±  5.74, -2.21 ±  1.32, 53.61 ± 17.62
-0.67 ±  1.55, -1.00 ±  1.37,  4.37 ±  2.16, -0.85 ±  1.15, 23.27 ±  6.07
 1.88 ±  1.17,  5.14 ±  1.77,  3.42 ±  2.10, -1.65 ±  0.35,  0.78 ±  2.09
