-5.97 ±  1.42, -8.36 ±  0.48, -6.61 ±  1.22, -6.90 ±  1.23, -13.93 ±  1.23
-6.42 ±  1.07, -8.35 ±  0.32, 24.04 ± 10.44, -9.17 ±  0.40, 15.79 ± 10.48
-5.90 ±  1.37, -8.16 ±  0.21, -6.69 ±  1.03, -7.21 ±  0.79, -8.52 ±  5.60
-5.85 ±  1.33, -7.91 ±  0.62, -8.45 ±  0.85, -7.61 ±  0.52, -15.44 ±  2.25
-3.01 ±  2.00, -7.80 ±  0.39, -7.74 ±  0.40, -7.61 ±  0.28, -15.53 ±  0.40
 3.75 ±  5.58, -6.81 ±  0.92, -7.63 ±  0.73, -8.12 ±  0.46, -14.12 ±  1.09
-6.37 ±  1.75, -6.50 ±  1.24, -8.72 ±  0.85,  6.34 ±  5.23, 19.39 ± 11.10
-4.99 ±  1.41, -7.13 ±  1.52, -5.04 ±  1.35,  3.30 ±  2.94,  2.74 ±  4.22
-7.76 ±  0.60, -0.79 ±  7.35,  3.41 ±  5.74, -8.21 ±  1.32, 41.60 ± 17.62
-6.68 ±  1.55, -7.00 ±  1.37, -1.64 ±  2.16, -6.85 ±  1.15, 11.26 ±  6.07
-3.36 ±  1.17, -0.10 ±  1.77, -1.83 ±  2.10, -6.89 ±  0.35, -9.71 ±  2.09
