 2.18 ±  1.70, -0.32 ±  0.79, -2.24 ±  0.12,  0.09 ±  1.03, -0.27 ±  1.95
 2.28 ±  1.54, 30.64 ± 10.25, -2.03 ±  0.21, -0.95 ±  0.57, 29.76 ± 10.54
 1.77 ±  1.32,  0.28 ±  0.86, -1.90 ±  0.09,  0.23 ±  0.68,  5.07 ±  5.82
 1.77 ±  1.54, -2.05 ±  1.61, -2.48 ±  0.50, -1.88 ±  1.51, -2.59 ±  2.09
 5.71 ±  2.14, -1.59 ±  0.21, -1.62 ±  0.32, -1.10 ±  0.39, -2.72 ±  0.44
13.12 ±  6.36, -1.32 ±  0.39, -0.97 ±  0.55, -0.87 ±  0.87, -2.04 ±  1.17
 1.08 ±  1.71, -1.93 ±  0.89,  0.27 ±  1.25, 15.67 ±  5.37, 32.59 ± 10.94
-0.90 ±  0.77,  0.67 ±  1.28, -1.38 ±  0.94, 10.13 ±  2.69, 14.67 ±  4.16
-2.17 ±  0.31, 10.85 ±  6.51,  6.71 ±  7.19, -0.62 ±  1.63, 54.36 ± 17.68
-0.65 ±  1.25,  3.91 ±  1.97,  0.39 ±  1.39,  2.34 ±  2.30, 26.94 ±  6.11
 0.41 ±  0.92, -0.61 ±  0.84,  5.28 ±  2.76, -0.64 ±  1.59,  2.00 ±  2.56
