 0.31 ±  2.21, -4.23 ±  1.09, -8.22 ±  0.19, -2.82 ±  1.52, -8.46 ±  2.55
-1.02 ±  2.02, 25.69 ± 10.46, -7.93 ±  0.29, -4.44 ±  1.09, 21.22 ± 11.08
-0.65 ±  2.33, -3.30 ±  1.28, -7.86 ±  0.07, -3.00 ±  0.89, -3.38 ±  6.25
-2.18 ±  2.06, -5.83 ±  1.87, -8.22 ±  0.45, -5.46 ±  1.39, -12.50 ±  2.22
 5.09 ±  2.23, -6.22 ±  0.72, -7.54 ±  0.40, -3.97 ±  1.11, -11.85 ±  1.02
12.34 ±  7.91, -6.86 ±  0.84, -7.44 ±  0.52, -5.28 ±  1.53, -12.55 ±  1.72
-1.44 ±  2.69, -7.69 ±  0.75, -5.41 ±  1.41, 13.88 ±  5.95, 21.74 ± 10.94
-5.79 ±  1.09, -3.02 ±  1.41, -6.42 ±  1.08,  6.13 ±  3.02,  5.75 ±  4.04
-8.80 ±  0.56,  6.79 ±  7.38,  1.96 ±  7.61, -2.73 ±  3.74, 44.92 ± 18.01
-6.80 ±  1.45, -1.68 ±  2.37, -4.63 ±  1.93,  1.90 ±  3.26, 20.54 ±  6.84
-4.08 ±  1.80, -5.81 ±  0.99,  1.15 ±  3.82,  0.74 ±  3.38, -4.15 ±  3.87
