                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                0.485 ± 0.029, 0.022 ± 0.012, 0.959 ± 0.362, 0.758 ± 0.394, 0.023 ± 0.013
0.454 ± 0.054, 0.079 ± 0.018, 1.317 ± 0.480, 1.528 ± 1.179, 0.010 ± 0.007
0.490 ± 0.039, 0.025 ± 0.017, 1.680 ± 0.511, 0.207 ± 0.062, 0.018 ± 0.011
0.467 ± 0.026, 0.015 ± 0.007, 0.265 ± 0.175, 0.393 ± 0.217, 0.048 ± 0.019
0.492 ± 0.023, 0.034 ± 0.006, 0.313 ± 0.102, 1.049 ± 0.188, 0.010 ± 0.004
0.534 ± 0.039, 0.065 ± 0.023, 0.268 ± 0.167, 0.978 ± 0.252, 0.013 ± 0.007
0.496 ± 0.010, 0.053 ± 0.023, 0.195 ± 0.146, 0.299 ± 0.117, 0.073 ± 0.017
0.514 ± 0.007, 0.039 ± 0.019, 1.131 ± 0.683, 0.105 ± 0.038, 0.177 ± 0.031
0.505 ± 0.006, 0.000 ± 0.000, 1.873 ± 0.546, 0.405 ± 0.176, 0.002 ± 0.002
0.504 ± 0.005, 0.012 ± 0.004, 0.944 ± 0.287, 0.182 ± 0.076, 0.034 ± 0.026
0.470 ± 0.013, 0.012 ± 0.003, 0.146 ± 0.073, 0.743 ± 0.060, 0.169 ± 0.159
